DE#,DA_fit,t1_fit,t2_fit,D,d,OD,var_x,var_y
23,2.11,0.15,2.44,48.9,17.0,65,5.088977997021593,4.541272696167074
24,27.47,0.7,3.37,74.0,15.4,65,13.235148823254866,75.26437365566932
25,1.21,0.0,1.62,63.4,30.9,65,0.5618039700979531,1.9784518431763145
30,4.36289643604333,,7.45363879630614,44.9,6.9,85,36.87103321954275,33.83133271113895
32,0.175561853276539,,44.5295402424541,80.2,38.7,85,0.2662300960994913,9.614203412204903
35,1.91474685575902,,8.86889845041848,47.0,9.5,42,2.715075481170422,15.554414013836176
37,2.10872788402171,,2.10674819804867,93.6,26.9,42,0.28390705967859164,4.315582925246979
38,8.41246638121813,,2.13507501273148,140.0,20.0,51,0.7435006864249373,18.011426223047728
39,18.376247066782,,2.07236099119313,110.0,20.0,41,1.0642728622573958,36.00006855877682
40,15.1529946226529,,1.58961788593949,109.4,23.2,41,21.423470639961977,22.99719957058595
41,5.98676066992812,,2.63330948735013,201.2,51.4,61,1.3313779761904763,15.931800420168068
42,13.8747518490872,,1.74778191609752,137.5,27.0,61,2.6775365618729094,21.32801036789298
43,15.944567822053,,2.92526254520225,100.0,30.0,65,9.935892541925758,52.89899217098712
44,26.1745555091197,,1.93971935016585,179.1,28.0,65,0.9473515565299092,47.184212236141576
45,28.2051106740192,,1.96972416170891,257.7,37.7,65,0.8609239054181022,49.464196705292835
46,37.0715488917532,,1.54976818089816,239.8,36.1,65,0.9137061290322583,54.929687503914806
48,42.6106575364582,,3.02856191205959,197.3,24.7,65,3.8263465622224024,118.57697201970444
50,12.8941615827334,,7.19708959164429,155.7,37.7,111,4.693981933295648,86.83073857062101
51,47.0440715468166,,9.56068768486976,132.6,15.6,66,129.88597919970934,431.0890796438667
52,27.7110796864598,,14.5779129304368,195.1,19.2,66,16.380418531858194,326.1514660478075
53,8.39963901379761,,4.60644895998264,72.5,21.1,57,2.473500431022458,40.94340445250385
55,13.8252681618326,,2.71862316661724,160.2,32.5,57,0.8565175559380378,29.4634010757315
56,54.3597611244232,,2.31781458446275,205.8,26.7,57,3.5270467156585648,124.07932150528956
57,12.9175416749992,,1.77056022234158,134.9,43.3,89,0.8912747823629168,22.90449414762174
59,19.2576292487465,,3.95113993579582,194.6,45.2,89,1.621610891898799,113.27973229619218
64,0.817615268743816,,6.00798371313904,89.1,20.46,15,3.6378414695903043,6.254993840689916
65,0.533644488580068,,34.981006067026,135.63,13.233,15,0.9585169926512156,15.665710432043932
66,0.489718822957933,,10.2055341587075,181.17,22.77,15,0.36393114081309663,4.441550061025028
67,0.0747229591623912,,15.3810002155367,157.3,21.5,8,2.261378605346039,2.1290886594524756
68,0.425324671832027,,11.6365157931328,143.3,28.6,8,4.056190485661527,7.328458561966058
72,28.24,1.32,11.17,176.8,12.3,50,7.593782772449867,183.10560564952053
75,33.38,0.68,1.43,136.1,39.4,70,0.6691547217960108,36.94599049664863
76,5.36719783810525,0.61,1.03185227764598,121.0,53.0,70,6.152774955180491,4.846580883469272
77,25.3,0.41,1.69,132.6,37.1,70,45.084482742469525,40.57020970039571
78,226.79,0.48,1.35,182.3,42.9,100,12.789273280303643,218.43133477105715
80,65.26,0.27,1.29,262.0,64.4,100,1.6142577461035288,69.07871649196478
81,1.13,0.36,9.89,38.3,12.1,61,4.153007112100852,9.25548541070962
82,9.21,0.44,3.99,46.3,7.9,83,40.81322494846299,31.42872296214943
83,34.33,0.93,2.67,57.1,11.4,94,68.23423269025542,65.82253552001045
84,0.15,0.0,6.69,45.9,12.0,170,1.3334028341228994,1.1794781900864322
85,18.22,0.84,3.07,57.3,12.4,100,34.74233409587388,44.51271249901906
86,16.91,1.13,2.59,58.1,12.8,100,37.12837874724716,31.588180111025224
87,0.2,0.29,7.83,35.5,18.8,150,1.126121097607546,1.373934262904549
88,0.37,0.23,4.07,40.5,21.2,150,1.5273817306981698,1.4311895093058395
89,1.36,0.28,3.11,43.5,15.3,17,5.252171295030001,4.0188266951565526
90,1.99,0.49,2.5,40.4,13.4,17,4.303802957886372,4.315375824006045
91,1.51,0.23,5.14,17.2,8.5,17,9.397373755936812,7.647148548177729
92,1.4,0.07,7.45,24.6,5.4,17,9.03976102811877,8.95345897585096
93,0.3,0.33,4.94,27.2,12.0,25,1.3933396253245356,1.3326917588616927
94,2.5,0.51,5.94,42.0,8.2,25,15.318290621897216,14.134010648232382
95,1.36,0.18,2.55,35.6,16.4,50,2.897499961303498,3.1120321078508617
96,0.12,0.09,10.12,17.6,7.8,80,1.0318387906490505,1.1171998404930181
97,0.75,0.1,18.3,36.2,5.0,7,19.88324741429604,13.433854390225642
98,0.14,0.0,2.59,46.1,17.8,7,0.5232456994443705,0.5398318661563832
99,0.34,0.0,3.63,43.5,11.5,7,1.6608978535184786,1.5180614855026868
100,2.8,0.48,1.95,61.3,21.4,40,3.8623076516579036,4.59496041648498
101,3.09,0.4,3.57,60.1,11.6,40,15.652295958264093,9.264626876192416
102,1.17,0.42,6.53,24.0,7.1,40,5.223987003553422,6.7861343103056635
103,1.42,0.72,4.22,32.1,7.9,40,5.304419671863522,5.551977046683537
104,6.06,0.45,1.05,66.4,20.4,40,4.439466070984743,4.673921425854759
105,6.35,0.13,11.23,52.0,8.9,40,45.72635950017515,60.64759534296196
106,0.73,0.13,5.74,66.1,33.8,125,3.3093521045731777,4.339612235124569
107,0.89,0.03,2.2,23.5,6.7,125,2.388720577745356,2.0840402716633166
108,12.63,0.39,2.59,57.4,15.9,70,34.30780391120311,29.02163757596245
109,0.52,0.19,1.49,58.0,25.4,40,0.7610670041953527,0.7088734829010774
110,0.78,0.12,2.68,44.1,18.3,40,1.848077070425715,2.1003239986196856
111,0.5,0.1,2.55,36.5,17.5,40,1.3923478115761292,1.2486898176198211
112,0.56,0.12,3.11,30.9,15.4,40,1.3514506668904533,1.6222593614582308
113,0.67,0.06,7.53,26.0,6.6,75,3.670747376690318,4.552697860799672
114,1.67,0.03,19.6,40.0,5.4,75,28.140201117943178,26.375721708584198
115,0.71,0.08,6.05,36.7,10.8,75,3.4124979644496904,4.336961299145671
116,1.8,0.38,1.73,69.1,20.5,80,1.8972597706733523,3.9637983593218746
117,0.13,0.0,2.64,39.7,24.3,80,0.305774338737297,0.39418786234013875
118,1.47,0.13,3.73,63.7,18.0,80,4.988418392001793,5.100881703058026
119,3.01,0.33,4.77,50.6,12.9,150,11.89130501594167,12.797899567097359
120,2.2,0.21,2.98,64.7,15.2,150,6.758047457878996,5.923691975980107
121,0.17,0.07,4.79,24.4,10.7,150,1.229238094389271,0.7434247615327265
122,0.24,0.22,2.32,52.4,15.2,10,0.5573851650938105,0.523740733779745
123,0.72,0.13,6.06,41.2,10.6,24,4.4882787582670005,3.9445048567027876
124,1.66,0.12,9.73,53.0,8.4,24,17.275918365187458,14.735843333851898
125,1.73,0.08,14.09,37.4,7.3,24,25.09852010556859,18.929524666241345
126,0.18,0.34,1.35,55.5,29.7,24,0.2082404280524386,0.21953490918579868
127,0.82,0.19,2.14,52.5,10.2,24,4.078521861567138,1.7241122280314238
128,1.26,0.12,3.49,44.6,32.3,24,0.09203245179239261,0.11207784148720373
129,1.85,0.49,2.67,26.9,7.6,30,4.462459969597945,4.468069038537476
130,0.64,0.36,4.35,15.2,4.7,30,2.0164148382925133,2.467907806331912
131,0.03,0.1,2.46,25.0,16.3,30,0.1589137214043253,0.13317180046225444
132,1.44,0.16,4.28,50.1,10.9,30,6.8069513724047095,5.63336563670579
133,1.39,0.22,4.23,29.5,7.4,30,4.427494002336352,5.736043008908207
134,4.99,0.24,3.03,88.9,17.7,30,21.36644379730023,17.811278319972978
135,2.05,0.17,1.5,61.3,28.3,45,2.893705410614774,2.823977101460062
136,2.05,0.41,3.02,24.8,9.7,45,4.491314539390759,5.12527811468041
137,2.12,0.1,5.13,33.8,13.8,45,11.468675791026643,10.314224935046612
138,12.56,0.48,2.08,48.6,13.6,45,25.748017103109508,21.138763515317198
139,0.42,0.29,1.04,73.0,45.3,45,0.46826391030815356,0.4464127075220153
140,9.7,0.21,2.04,71.6,24.4,45,15.806838975092251,18.15392063305316
141,1.05,0.0,1.04,73.3,43.8,45,1.4408547076651281,1.1485830739869058
142,5.61,0.19,2.45,81.5,28.0,150,9.398429574573285,11.692750817468225
143,0.26,0.0,6.23,32.5,20.7,150,0.9958482655038989,1.617901733221647
144,1.41,0.15,2.66,60.0,32.2,150,3.206693150442653,3.6686381920697855
145,0.14,0.06,2.02,82.8,61.0,150,0.21685843322895523,0.27598374076189236
146,0.02,0.1,3.55,55.4,34.7,25,0.07162628458520094,0.2294706342744006
147,1.05,0.03,9.69,42.7,6.0,25,11.835661685314623,9.27349231110547
148,0.59,0.0,2.19,55.5,11.8,25,1.9452451036473164,1.7416016898529283
149,2.61,0.5,0.98,80.6,51.6,110,1.8258923292423583,1.7912104769132535
150,34.66,0.47,0.47,97.0,44.1,110,7.555419154562992,8.234440350873587
151,1.53,0.34,1.22,71.9,43.4,110,1.9279190712482057,1.5713525774477883
152,15.58,0.07,1.73,84.1,33.5,110,25.59811919373204,25.399926646792085
153,22.31,0.25,1.57,66.1,17.8,125,32.333157241129115,29.62500793634268
154,1.12,0.08,1.8,66.7,40.3,125,2.052101053918835,2.046798699885287
155,17.11,0.25,1.44,77.7,32.4,125,22.612413792310154,20.43076001477642
156,6.3,0.5,0.99,90.8,42.6,125,4.004567020525784,4.082307580266987
157,1.99,0.49,2.5,40.4,13.4,17,4.303802957886372,4.315375824006045
158,1.11,0.46,11.0,38.3,12.1,61,4.153007112100852,9.25548541070962
159,5.66,0.3,12.23,55.7,5.5,83,42.58063416519848,47.46229449099887
160,8.79,0.41,4.04,46.3,7.9,83,40.0068449029945,30.751828138622006
161,0.86,,0.14,129.87,82.59,38,0.9114925252302284,0.49180382975270137
162,2.88,0.15,3.47,60.08,15.26,38,0.27850890556681285,9.091648695129313
166,1.95,0.25,4.41,66.32,11.99,40,0.2379464581862804,8.56271277576407
168,1.64,0.27,1.33,77.15,28.99,40,0.20140981607794828,1.9439194618388551
171,18.32,0.57,0.57,184.76,37.01,40,1.3235175532674033,5.50518163430589
172,0.02,0.0,1.76,72.61023,36.29373,36,1.3897393905618005,0.1187697778529172
173,0.3,0.0,7.9,63.68307,13.9128,36,0.8957140831097328,2.5780132387363186
174,0.69,0.33,3.03,43.24089,12.4839,33,0.2621558007110835,1.9434184689179321
175,0.54,0.5,3.88,43.57155,12.26544,33,0.16117845710126963,1.8242731634205707
176,4.85,0.21,1.71,160.70868,22.46574,33,1.204397244891622,7.72425180831884
177,3.94,0.11,4.53,139.28442,16.55247,33,1.0598291091258876,17.588910546276846
178,0.44,0.22,6.78,55.7667,13.49271,33,0.3181968317064261,3.4402380623342768
179,1.05,0.05,12.36,117.14373,8.23416,33,4.359549555052039,60.75161650902374
181,0.26,0.07,5.89,39.95442,11.61501,33,0.22010553746730527,1.542590818472415
182,5.87,0.52,0.75,151.48122,34.97076,26,1.9752478889420775,3.907438575641306
183,1.29,0.23,3.94,55.44627,13.9128,26,0.2563834330470532,4.654690816984701
184,0.86,0.11,1.64,57.42627,21.43284,26,0.17280921702467883,1.40192682805614
185,0.14,0.0,0.91,78.85449,66.66495,26,0.7639036016991292,0.3536282629939394
186,3.54,0.04,9.51,71.26086,9.60234,34,1.0006673881629125,33.892949880299895
187,8.28,0.17,17.14,79.20429,9.24198,34,17.74345384091749,82.15658806057846
189,0.56,0.07,6.46,52.15254,14.21343,34,0.22468169928804996,3.2206566817474975
190,3.22,0.0,4.05,74.90835,13.9128,34,0.27976783712546516,13.263725946709428
191,0.85,0.17,14.83,61.4031,10.61082,26,0.19205728223948193,9.662572937256128
192,0.1,0.0,0.32,65.68518,42.88515,26,0.3145744923088595,0.2802261382389902
193,0.42,0.04,10.14,55.12122,10.61082,26,0.39633932874104666,3.611586520461687
194,0.31,0.0,1.19,123.08835,44.57343,26,0.813811729966473,0.4946715279121746
