Name,FPS
2022-08-08_18h09m28s - two color trial,30.0
2022-08-09_14h57m01s-droplets-10um-monolayer,10.0
2022-08-09_15h22m10s - unsuccessful track,10.0
2022-08-09_15h27m42s - sample mapping,10.0
2022-08-09_15h30m45s - sample mapping,10.0
2022-08-09_15h52m33s - better sample 1,10.0
2022-08-09_15h54m56s - better sample 2,10.0
2022-08-09_15h56m36s,10.0
2022-08-09_15h58m32s,10.0
2022-08-09_16h00m37s,10.0
2022-08-09_16h03m22s,10.0
2022-08-09_16h05m57s - cyan 100,10.0
2022-08-09_16h12m38s,10.0
2022-08-10_13h30m02s-0,10.0
2022-08-10_13h32m31s-1,10.0
2022-08-10_13h34m32s-2,10.0
2022-08-10_13h37m05s-3,10.0
2022-08-10_13h39m00s-4,10.0
2022-08-10_14h03m14s-5,10.0
2022-08-10_14h08m12s-6,10.0
2022-08-10_14h10m54s-7,10.0
2022-08-10_14h24m29s-8,10.0
2022-08-10_14h26m13s-9,10.0
2022-08-10_14h28m47s-10,10.0
2022-08-10_14h30m44s-11,10.0
2022-08-10_14h32m42s-12,10.0
2022-08-10_14h34m25s-13,10.0
2022-08-10_14h36m43s-14,10.0
2022-08-10_14h38m38s-15,10.0
2022-08-10_14h42m05s-16,10.0
2022-08-10_14h44m30s-17,10.0
2022-08-11_14h29m13s-19,10.0
2022-08-11_14h24m34s-18,10.0
2022-08-11_14h21m41s-17,10.0
2022-08-11_14h19m27s-16,10.0
2022-08-11_14h17m42s-15,10.0
2022-08-10_16h53m40s-18,10.0
2022-08-11_14h15m37s-14,10.0
2022-08-11_14h13m27s-13,10.0
2022-08-10_17h03m18s-19,10.0
2022-08-11_14h09m27s-12,10.0
2022-08-11_14h07m27s-11,10.0
2022-08-11_14h05m46s-10,10.0
2022-08-11_13h51m35s-9,10.0
2022-08-11_13h49m09s-8,10.0
2022-08-10_17h05m29s-20,10.0
2022-08-11_13h47m27s-7,10.0
2022-08-11_13h45m49s-6,10.0
2022-08-11_13h43m55s-5,10.0
2022-08-11_13h42m26s-4,10.0
2022-08-11_13h40m53s-3,10.0
2022-08-10_17h08m50s-21,10.0
2022-08-11_13h38m40s-2,10.0
2022-08-11_13h24m12s-1,10.0
2022-08-11_13h09m57s-0,10.0
2022-08-10_17h21m25s-22,10.0
2022-08-10_17h23m19s-23,10.0
2022-08-10_17h26m33s-24,10.0
2022-08-10_17h28m31s-25,10.0
2022-08-10_17h30m39s-26,10.0
2022-08-10_17h39m09s-27,10.0
2022-08-10_17h51m31s-28,10.0
2022-08-10_17h53m24s-29,10.0
2022-08-10_17h55m10s-30,10.0
2022-08-10_17h56m44s-31,10.0
2022-08-10_17h59m08s-32,10.0
2022-08-10_18h01m18s-33,10.0
2022-08-11_18h12m52s-73,20.0
2022-08-11_18h10m48s-72,20.0
2022-08-11_18h09m34s-71,20.0
2022-08-11_18h06m50s-70,20.0
2022-08-11_18h06m38s-69,20.0
2022-08-11_18h06m08s-68,20.0
2022-08-11_18h04m31s-67,20.0
2022-08-11_18h03m04s-66,20.0
2022-08-11_18h02m04s-65,20.0
2022-08-11_18h00m36s-64,20.0
2022-08-11_17h59m22s-63,20.0
2022-08-11_17h58m15s-62,20.0
2022-08-11_17h57m54s-61,20.0
2022-08-11_17h56m13s-60,20.0
2022-08-11_17h55m43s-59,20.0
2022-08-11_17h54m58s-58,20.0
2022-08-11_17h54m07s-57,20.0
2022-08-11_17h53m02s-56,20.0
2022-08-11_17h52m27s-55,20.0
2022-08-11_17h51m47s-54,20.0
2022-08-11_17h50m34s-53,20.0
2022-08-11_17h35m24s-52,20.0
2022-08-11_17h34m27s-51,20.0
2022-08-11_17h33m14s-50,20.0
2022-08-11_17h32m23s-49,20.0
2022-08-11_17h31m17s-48,20.0
2022-08-11_17h25m56s-47,20.0
2022-08-11_17h24m54s-46,20.0
2022-08-11_17h23m17s-45,20.0
2022-08-11_17h22m56s-44,20.0
2022-08-11_17h22m00s-43,20.0
2022-08-11_17h20m45s-42,20.0
2022-08-11_17h19m23s-41,20.0
2022-08-11_17h19m10s-40,20.0
2022-08-11_17h17m48s-39,20.0
2022-08-11_17h17m46s-38,20.0
2022-08-11_17h16m51s-37,20.0
2022-08-11_17h15m07s-36,20.0
2022-08-11_17h13m53s-35,20.0
2022-08-11_16h55m04s-34,20.0
2022-08-11_16h52m52s-33,20.0
2022-08-11_16h51m44s-32,20.0
2022-08-11_16h49m21s-31,20.0
2022-08-11_16h48m55s-30,20.0
2022-08-11_16h45m26s-29,20.0
2022-08-11_16h43m46s-28,20.0
2022-08-11_16h43m02s-27,10.0
2022-08-11_16h41m46s-26,10.0
2022-08-11_16h27m51s-25,10.0
2022-08-11_16h26m33s-24,10.0
2022-08-11_16h25m18s-23,10.0
2022-08-11_16h24m04s-22,10.0
2022-08-11_16h22m09s-21,10.0
2022-08-11_16h20m18s-20,10.0
2022-08-12_17h09m53s-92,30.0
2022-08-12_17h10m13s-93,30.0
2022-08-12_17h10m27s-94,30.0
2022-08-12_17h11m23s-95,30.0
2022-08-12_17h11m33s-96,30.0
2022-08-12_17h12m44s-97,30.0
2022-08-12_17h13m22s-98,30.0
2022-08-12_17h14m20s-99,30.0
2022-08-12_17h14m38s-100,30.0
2022-08-12_17h15m58s-101,30.0
2022-08-12_17h16m35s-102,30.0
2022-08-12_17h16m59s-103,30.0
2022-08-12_17h18m07s-104,30.0
