Date,Video#,Droplet#,Droplet size,Sample,Harvest time,Video time,Time (from harvest),Time in minutes,Bacterial concentration,Imaging plane
01/17/22,0,0,91.04,1,12:20,13:10,00:50,50,173,xy
,1,0,91.04,1,12:20,13:26,01:06,66,173,xy
,2,0,91.04,1,12:20,13:30,01:10,70,173,xy
,3,0,91.04,1,12:20,13:33,01:13,73,173,xy
,4,0,91.04,1,12:20,13:35,01:15,75,173,xy
,5,0,91.04,1,12:20,13:38,01:18,78,173,xy
,6,0,91.04,1,12:20,13:42,01:22,82,173,xy
,7,0,91.04,1,12:20,13:45,01:25,85,173,xy
,8,0,91.04,1,12:20,13:48,01:28,88,173,xy
,9,0,91.04,1,12:20,13:50,01:30,90,173,xy
,10,0,91.04,1,12:20,13:53,01:33,93,173,xy
,11,0,91.04,1,12:20,14:04,01:44,104,173,xy
,12,1,69.28,2,13:50,14:34,00:44,44,171,xy
,13,2,88.8,2.1,13:50,14:56,01:06,66,171,xy
,14,3,40.48,3,15:20,15:54,00:34,34,167,xy
,15,4,62.56,3,15:20,15:58,00:38,38,167,xy
,16,5,95.2,3,15:20,16:03,00:43,43,167,xy
,17,6,61.44,4,16:35,17:08,00:33,33,166,xy
,18,6,61.44,4,16:35,17:19,00:44,44,166,xy
,19,6,61.44,4,16:35,17:30,00:55,55,166,xy
01/18/22,0,7,54.72,1,12:30,13:05,00:35,35,197,xy
,1,7,54.72,1,12:30,13:10,00:40,40,197,xy
,2,7,54.72,1,12:30,13:16,00:46,46,197,xy
,3,7,54.72,1,12:30,13:22,00:52,52,197,xy
,4,7,54.72,1,12:30,13:30,01:00,60,197,xy
,5,8,49.6,1.1,12:30,13:48,01:18,78,197,xy
,6,8,49.6,1.1,12:30,13:54,01:24,84,197,xy
,7,8,49.6,1.1,12:30,13:59,01:29,89,197,xy
,8,8,49.6,1.1,12:30,14:03,01:33,93,197,xy
,9,9,93.6,2,14:00,14:34,00:34,34,197,xz
,10,9,93.6,2,14:00,14:38,00:38,38,197,xy
,11,9,93.6,2,14:00,14:39,00:39,39,197,xy
,12,9,93.6,2,14:00,14:42,00:42,42,197,xz
,13,9,93.6,2,14:00,14:45,00:45,45,197,xy
,14,9,93.6,2,14:00,14:49,00:49,49,197,xz
,15,10,84.8,2.1,14:00,15:08,01:08,68,197,xz
,16,10,84.8,2.1,14:00,15:11,01:11,71,197,xy
,17,10,84.8,2.1,14:00,15:15,01:19,79,197,xz
,18,10,84.8,2.1,14:00,15:19,01:22,82,197,xy
,19,10,84.8,2.1,14:00,15:22,01:27,87,197,xy
,20,10,84.8,2.1,14:00,15:27,01:35,95,197,xy
,21,10,84.8,2.1,14:00,15:35,01:35,95,197,xy
,22,11,54.56,3,15:30,16:13,00:43,43,44,xz
,23,12,80.16,3,15:30,16:20,00:50,50,44,xz
,24,13,51.84,4,17:00,17:55,00:55,55,179,xz
,25,14,37.76,4,17:00,17:58,00:58,58,179,xz
,26,15,95.2,4,17:00,18:00,01:00,60,179,xz
01/19/22,0,16,62.4,1,12:30,13:09,00:39,39,185,xy
,1,16,62.4,1,12:30,13:15,00:45,45,185,xz
,2,16,62.4,1,12:30,13:20,00:50,50,185,xy
,3,16,62.4,1,12:30,13:25,00:55,55,185,xz
,4,16,62.4,1,12:30,13:30,01:00,60,185,xy
,5,16,62.4,1,12:30,13:39,01:09,69,185,xy
,6,16,62.4,1,12:30,13:44,01:14,74,185,xy
,7,16,62.4,1,12:30,13:50,01:20,80,185,xy
,8,17,37.12,2,14:00,14:37,00:37,37,174,xy
,9,17,37.12,2,14:00,14:42,00:42,42,174,xy
,10,17,37.12,2,14:00,14:48,00:48,48,174,xy
,11,17,37.12,2,14:00,14:53,00:53,53,174,xy
,12,18,45.12,2.1,14:00,15:12,01:12,72,174,xy
,13,18,45.12,2.1,14:00,15:17,01:17,77,174,xy
,14,18,45.12,2.1,14:00,15:22,01:22,82,174,xy
,15,18,45.12,2.1,14:00,15:28,01:28,88,174,xy
,16,19,28.16,3,15:30,15:59,00:29,29,185,xy
,17,20,112,3.1,15:30,16:27,00:57,57,185,xy
,18,20,112,3.1,15:30,16:30,01:00,60,185,xy
,19,20,112,3.1,15:30,16:35,01:05,65,185,xy
,20,20,112,3.1,15:30,16:40,01:10,70,185,xy
,21,20,112,3.1,15:30,16:45,01:15,75,185,xy
,22,20,112,3.1,15:30,16:50,01:20,80,185,xy
,23,20,112,3.1,15:30,16:55,01:25,85,185,xy
,24,20,112,3.1,15:30,17:00,01:30,90,185,xy
,25,21,56.64,4,17:00,17:35,00:35,35,199,xy
,26,21,56.64,4,17:00,17:40,00:40,40,199,xy
,27,21,56.64,4,17:00,17:43,00:43,43,199,xy
,28,21,56.64,4,17:00,17:46,00:46,46,199,xy
,29,21,56.64,4,17:00,17:49,00:49,49,199,xy
,30,21,56.64,4,17:00,17:52,00:52,52,199,xy
