n,frame,x,y,Distance,Velocity,Pixel Value
1,1,407,291,-1.000,-1.000,54
1,2,408,295,0.532,0.266,70
1,3,409,310,1.939,0.970,64
1,4,410,304,0.785,0.392,74
1,5,407,307,0.547,0.274,74
1,6,408,277,3.872,1.936,58
1,7,409,302,3.228,1.614,61
1,8,406,277,3.248,1.624,63
1,9,402,267,1.389,0.695,69
1,10,405,283,2.100,1.050,65
1,11,407,301,2.336,1.168,60
1,12,404,299,0.465,0.233,70
1,13,402,294,0.695,0.347,68
1,14,406,313,2.505,1.252,50
1,15,405,329,2.068,1.034,51
1,16,405,299,3.870,1.935,54
1,17,405,293,0.774,0.387,48
1,18,404,311,2.326,1.163,62
1,19,404,311,0.000,0.000,77
1,20,403,316,0.658,0.329,58
1,21,404,304,1.553,0.777,55
1,22,406,315,1.442,0.721,57
1,23,405,292,2.970,1.485,75
1,24,403,307,1.952,0.976,60
1,25,407,306,0.532,0.266,81
1,26,405,313,0.939,0.470,58
1,27,404,302,1.425,0.712,78
1,28,405,304,0.288,0.144,75
1,29,402,275,3.761,1.880,65
1,30,406,299,3.139,1.569,90
1,31,406,296,0.387,0.194,61
1,32,406,289,0.903,0.452,58
1,33,402,304,2.003,1.001,45
1,34,406,311,1.040,0.520,46
1,35,405,316,0.658,0.329,58
1,36,395,278,5.069,2.534,54
1,37,404,295,2.481,1.241,71
1,38,406,286,1.189,0.595,60
1,39,406,295,1.161,0.581,62
1,40,406,291,0.516,0.258,29
1,41,406,294,0.387,0.194,49
1,42,402,273,2.758,1.379,46
1,43,405,300,3.504,1.752,51
1,44,405,306,0.774,0.387,41
1,45,404,311,0.658,0.329,53
1,46,406,299,1.569,0.785,59
1,47,404,304,0.695,0.347,58
1,48,404,285,2.451,1.226,48
1,49,407,306,2.737,1.368,51
1,50,403,310,0.730,0.365,37
1,51,407,295,2.003,1.001,57
1,52,403,299,0.730,0.365,40
1,53,402,319,2.583,1.292,61
1,54,408,287,4.200,2.100,49
1,55,407,295,1.040,0.520,37
1,56,406,301,0.785,0.392,43
1,57,406,293,1.032,0.516,71
1,58,406,275,2.322,1.161,48
1,59,409,293,2.354,1.177,49
1,60,406,296,0.547,0.274,67
1,61,407,297,0.182,0.091,61
1,62,404,307,1.347,0.673,57
1,63,407,289,2.354,1.177,49
1,64,406,269,2.583,1.292,56
1,65,406,292,2.967,1.484,55
1,66,407,290,0.288,0.144,51
1,67,407,296,0.774,0.387,45
1,68,404,262,4.403,2.202,39
1,69,406,285,2.978,1.489,66
1,70,404,271,1.824,0.912,76
1,71,407,298,3.504,1.752,61
1,72,407,288,1.290,0.645,70
1,73,404,286,0.465,0.233,62
1,74,404,282,0.516,0.258,55
1,75,398,323,5.345,2.673,76
1,76,405,298,3.349,1.675,63
1,77,408,288,1.347,0.673,72
1,78,401,320,4.226,2.113,70
1,79,404,264,7.234,3.617,81
1,80,405,295,4.001,2.001,74
1,81,408,291,0.645,0.323,82
1,82,406,310,2.465,1.232,65
1,83,405,284,3.356,1.678,60
1,84,407,301,2.208,1.104,68
1,85,406,298,0.408,0.204,66
1,86,403,264,4.403,2.202,76
1,87,406,308,5.689,2.845,62
1,88,407,314,0.785,0.392,60
1,89,405,312,0.365,0.182,51
1,90,408,297,1.973,0.987,33
1,91,409,314,2.197,1.098,49
1,92,410,300,1.811,0.905,54
1,93,405,297,0.752,0.376,60
1,94,403,285,1.569,0.785,55
1,95,406,314,3.761,1.880,61
1,96,399,301,1.905,0.952,65
1,97,405,271,3.947,1.973,63
1,98,402,264,0.982,0.491,48
1,99,407,297,4.306,2.153,57
1,100,406,275,2.841,1.420,59
1,101,409,275,0.387,0.194,67
1,102,407,292,2.208,1.104,60
1,103,404,323,4.018,2.009,67
1,104,409,306,2.286,1.143,64
1,105,407,289,2.208,1.104,62
1,106,406,282,0.912,0.456,60
1,107,409,299,2.227,1.113,65
1,108,393,329,4.386,2.193,76
1,109,407,288,5.589,2.794,62
1,110,407,290,0.258,0.129,57
1,111,404,324,4.403,2.202,56
1,112,406,307,2.208,1.104,75
1,113,406,292,1.935,0.968,47
1,114,407,286,0.785,0.392,51
1,115,403,305,2.505,1.252,36
1,116,409,296,1.395,0.698,38
1,117,408,294,0.288,0.144,57
1,118,408,299,0.645,0.323,57
1,119,408,302,0.387,0.194,56
1,120,403,311,1.328,0.664,71
1,121,407,294,2.253,1.126,67
1,122,407,300,0.774,0.387,68
1,123,406,276,3.099,1.549,69
1,124,403,273,0.547,0.274,71
1,125,408,298,3.289,1.644,64
1,126,407,299,0.182,0.091,73
1,127,409,286,1.697,0.848,59
1,128,406,279,0.982,0.491,70
1,129,406,278,0.129,0.065,64
1,130,408,295,2.208,1.104,65
1,131,408,275,2.580,1.290,72
1,132,406,289,1.824,0.912,61
1,133,410,296,1.040,0.520,59
1,134,407,282,1.847,0.923,66
1,135,408,274,1.040,0.520,72
1,136,407,284,1.296,0.648,82
1,137,407,297,1.677,0.839,68
1,138,409,301,0.577,0.288,45
1,139,412,287,1.847,0.923,47
1,140,409,297,1.347,0.673,73
1,141,409,281,2.064,1.032,59
1,142,408,303,2.841,1.420,71
1,143,409,288,1.939,0.970,66
1,144,411,287,0.288,0.144,72
1,145,410,295,1.040,0.520,54
1,146,408,290,0.695,0.347,88
1,147,409,293,0.408,0.204,69
1,148,408,301,1.040,0.520,57
1,149,408,291,1.290,0.645,72
1,150,409,284,0.912,0.456,72
1,151,407,300,2.080,1.040,51
1,152,409,289,1.442,0.721,61
1,153,406,310,2.737,1.368,57
1,154,403,316,0.865,0.433,58
1,155,409,270,5.984,2.992,51
1,156,408,285,1.939,0.970,59
1,157,406,295,1.316,0.658,69
1,158,406,288,0.903,0.452,70
1,159,406,297,1.161,0.581,79
1,160,405,284,1.682,0.841,88
1,161,408,298,1.847,0.923,61
1,162,402,311,1.847,0.923,88
1,163,404,270,5.295,2.648,75
1,164,406,265,0.695,0.347,71
1,165,400,268,0.865,0.433,63
1,166,407,279,1.682,0.841,56
1,167,406,259,2.583,1.292,49
1,168,405,255,0.532,0.266,50
1,169,398,243,1.792,0.896,35
1,170,405,268,3.349,1.675,55
1,171,407,288,2.593,1.296,41
1,172,408,276,1.553,0.777,38
1,173,404,258,2.379,1.189,47
1,174,406,270,1.569,0.785,56
1,175,410,286,2.128,1.064,64
1,176,407,283,0.547,0.274,82
1,177,407,276,0.903,0.452,52
1,178,406,271,0.658,0.329,51
1,179,406,299,3.612,1.806,66
1,180,406,291,1.032,0.516,53
1,181,407,270,2.712,1.356,76
1,182,400,281,1.682,0.841,60
1,183,404,257,3.139,1.569,58
1,184,405,274,2.197,1.098,64
1,185,410,288,1.918,0.959,68
1,186,406,278,1.389,0.695,73
1,187,408,287,1.189,0.595,54
1,188,403,314,3.542,1.771,76
1,189,405,299,1.952,0.976,45
1,190,405,296,0.387,0.194,52
1,191,407,275,2.721,1.361,37
1,192,410,297,2.864,1.432,40
1,193,408,302,0.695,0.347,32
1,194,408,275,3.483,1.742,64
1,195,409,287,1.553,0.777,73
1,196,406,297,1.347,0.673,70
1,197,410,279,2.379,1.189,60
1,198,407,272,0.982,0.491,70
1,199,405,313,5.295,2.648,31
1,200,408,292,2.737,1.368,43
1,201,409,266,3.356,1.678,45
1,202,407,274,1.064,0.532,40
1,203,410,288,1.847,0.923,37
1,204,408,276,1.569,0.785,38
1,205,409,293,2.197,1.098,53
1,206,412,290,0.547,0.274,56
1,207,412,292,0.258,0.129,47
1,208,409,295,0.547,0.274,47
1,209,406,262,4.275,2.137,56
1,210,408,278,2.080,1.040,60
1,211,409,289,1.425,0.712,61
1,212,407,270,2.465,1.232,62
1,213,407,297,3.483,1.742,54
1,214,409,276,2.721,1.361,47
1,215,410,269,0.912,0.456,63
1,216,408,297,3.621,1.811,61
1,217,406,290,0.939,0.470,62
1,218,405,322,4.130,2.065,50
1,219,412,296,3.473,1.737,48
1,220,411,264,4.130,2.065,57
1,221,410,298,4.388,2.194,59
1,222,414,281,2.253,1.126,71
1,223,406,293,1.860,0.930,50
1,224,408,299,0.816,0.408,59
1,225,413,277,2.910,1.455,42
1,226,410,296,2.481,1.241,52
1,227,412,287,1.189,0.595,60
1,228,406,289,0.816,0.408,75
1,229,409,284,0.752,0.376,54
1,230,407,269,1.952,0.976,63
1,231,411,282,1.755,0.877,59
1,232,402,255,3.671,1.836,57
1,233,400,238,2.208,1.104,61
1,234,406,271,4.327,2.163,58
1,235,408,310,5.038,2.519,43
1,236,407,306,0.532,0.266,64
1,237,410,291,1.973,0.987,63
1,238,409,289,0.288,0.144,70
1,239,409,269,2.580,1.290,57
1,240,406,306,4.789,2.394,62
1,241,407,267,5.033,2.516,56
1,242,411,292,3.266,1.633,61
1,243,409,272,2.593,1.296,62
1,244,406,294,2.864,1.432,61
1,245,402,324,3.904,1.952,63
1,246,408,286,4.963,2.481,78
1,247,410,290,0.577,0.288,53
1,248,411,286,0.532,0.266,53
1,249,410,292,0.785,0.392,59
1,250,410,297,0.645,0.323,64
1,251,405,312,2.040,1.020,66
1,252,402,287,3.248,1.624,58
1,253,407,292,0.912,0.456,53
1,254,409,283,1.189,0.595,67
1,255,402,313,3.974,1.987,62
1,256,409,291,2.978,1.489,54
1,257,407,294,0.465,0.233,64
1,258,407,302,1.032,0.516,51
1,259,408,298,0.532,0.266,76
1,260,406,271,3.493,1.746,72
1,261,408,267,0.577,0.288,66
1,262,409,275,1.040,0.520,60
1,263,402,275,0.903,0.452,56
1,264,405,281,0.865,0.433,78
1,265,408,275,0.865,0.433,68
1,266,407,271,0.532,0.266,60
1,267,407,276,0.645,0.323,63
1,268,405,267,1.189,0.595,61
1,269,406,267,0.129,0.065,56
1,270,406,271,0.516,0.258,57
1,271,406,283,1.548,0.774,57
1,272,402,289,0.930,0.465,66
1,273,409,283,1.189,0.595,63
1,274,402,299,2.253,1.126,65
1,275,406,301,0.577,0.288,74
1,276,409,303,0.465,0.233,59
1,277,409,296,0.903,0.452,74
1,278,407,283,1.697,0.848,52
1,279,408,293,1.296,0.648,70
1,280,403,285,1.217,0.608,71
1,281,403,289,0.516,0.258,77
1,282,408,294,0.912,0.456,68
1,283,408,291,0.387,0.194,51
1,284,408,291,0.000,0.000,51
1,285,405,300,1.224,0.612,74
1,286,407,297,0.465,0.233,61
1,287,410,280,2.227,1.113,52
1,288,407,293,1.721,0.861,45
1,289,407,296,0.387,0.194,64
1,290,400,251,5.875,2.937,59
1,291,404,305,6.985,3.493,59
1,292,408,308,0.645,0.323,63
1,293,405,291,2.227,1.113,72
1,294,406,291,0.129,0.065,68
1,295,409,287,0.645,0.323,64
1,296,403,290,0.865,0.433,56
1,297,405,284,0.816,0.408,48
1,298,404,294,1.296,0.648,56
1,299,405,294,0.129,0.065,65
1,300,407,290,0.577,0.288,59
1,301,405,275,1.952,0.976,45
1,302,404,313,4.904,2.452,65
1,303,407,283,3.889,1.945,72
1,304,407,279,0.516,0.258,59
1,305,408,290,1.425,0.712,57
